"key","en","hu","de"
"language","Language","Nyelv",""
"convert","Convert","",""
"enter_number","Enter number...","",""
"from","From","Ebbe:",""
"to","To","Ebbe",""
"plain","Plain","Szimpla",""
"gcd","Greatest Common Divisor","Legnagyobb közös osztó",""
"lcm","Least Common Multiplier","Legkisebb közös többszörös",""
"factorize","Factorize","",""
"visualize","Visualize","",""
"number1","Number 1","",""
"number2","Number 2","",""
"find","Find","",""
"system_converter","System Converter","Számrendszer Átváltó",""
"prime_factorizator","Prime Factorizator","Prímtényezős Felbontás",""
"app_title","Bruh Calculator","Bruh Számológép","Bruh Rechner"
"mathematics","Mathematics","",""
"physics","Physics","",""
"ballistics","Ballistics","",""
"expansion","Thermal expansion","Hőtágulás",""
"anyad","urmom!","",""
"exp-linear","Linear/Liquid/Gas","Lineáris/Folyadék/Gáz",""
"exp-areal","Areal","Felületi",""
"exp-cubic","Cubic","Térfogati",""
"exp-convertandexit","Convert and exit","Átváltás és kilépés",""
"exp-exitwoconverting","Exit without converting, but save settings","Kilépés átváltás nélkül, de a beállítások megtartása",""
